crack:3,49                      35.9600    0.1200   36.0800   36.6207
decrypt:3,49                     2.2300    0.0100    2.2400    2.2665
crack:3,50                      38.0400    0.1200   38.1600   38.6623
decrypt:3,50                     2.3500    0.0100    2.3600    2.4028
crack:4,1                        0.3100    0.0000    0.3100    0.3437
decrypt:4,1                      1.5500    0.0100    1.5600    1.6335
crack:4,2                        0.2800    0.0100    0.2900    0.2902
decrypt:4,2                      1.2700    0.0000    1.2700    1.2811
crack:4,3                        0.3500    0.0000    0.3500    0.3544
decrypt:4,3                      1.2700    0.0100    1.2800    1.2852
crack:4,4                        0.4200    0.0000    0.4200    0.4287
decrypt:4,4                      1.2900    0.0000    1.2900    1.2993
crack:4,5                        0.5300    0.0000    0.5300    0.5362
decrypt:4,5                      1.3100    0.0000    1.3100    1.3314
crack:4,6                        0.6200    0.0000    0.6200    0.6268
decrypt:4,6                      1.3100    0.0100    1.3200    1.3352
crack:4,7                        0.7000    0.0100    0.7100    0.7148
decrypt:4,7                      1.3200    0.0100    1.3300    1.3348
crack:4,8                        0.8200    0.0100    0.8300    0.8299
decrypt:4,8                      1.4000    0.0000    1.4000    1.4184
crack:4,9                        0.9000    0.0000    0.9000    0.9022
decrypt:4,9                      1.2700    0.0000    1.2700    1.2776
crack:4,10                       1.0000    0.0000    1.0000    1.0018
decrypt:4,10                     1.3700    0.0000    1.3700    1.3782
crack:4,11                       1.1600    0.0000    1.1600    1.1717
decrypt:4,11                     1.5600    0.0000    1.5600    1.6122
crack:4,12                       1.5100    0.0100    1.5200    1.5361
decrypt:4,12                     1.3000    0.0100    1.3100    1.3019
crack:4,13                       1.5100    0.0100    1.5200    1.5240
decrypt:4,13                     1.3800    0.0000    1.3800    1.3959
crack:4,14                       1.7800    0.0100    1.7900    1.7959
decrypt:4,14                     1.3500    0.0100    1.3600    1.3601
crack:4,15                       1.9900    0.0000    1.9900    2.0084
decrypt:4,15                     1.3400    0.0000    1.3400    1.3489
crack:4,16                       2.2100    0.0000    2.2100    2.2221
decrypt:4,16                     1.3100    0.0000    1.3100    1.3274
crack:4,17                       2.9200    0.0100    2.9300    3.0284
decrypt:4,17                     1.6400    0.0100    1.6500    1.6790
crack:4,18                       3.2000    0.0100    3.2100    3.2961
decrypt:4,18                     1.5300    0.0100    1.5400    1.5640
crack:4,19                       3.2500    0.0100    3.2600    3.2758
decrypt:4,19                     1.4100    0.0000    1.4100    1.4354
crack:4,20                       3.8300    0.0200    3.8500    3.8819
decrypt:4,20                     1.5400    0.0100    1.5500    1.5724
crack:4,21                       3.8600    0.0100    3.8700    3.8757
decrypt:4,21                     1.6200    0.0100    1.6300    1.7259
crack:4,22                       4.5700    0.0100    4.5800    4.6689
decrypt:4,22                     1.4900    0.0100    1.5000    1.5130
crack:4,23                       4.7400    0.0200    4.7600    4.7969
decrypt:4,23                     1.4900    0.0100    1.5000    1.5116
crack:4,24                       5.2400    0.0200    5.2600    5.3003
decrypt:4,24                     1.4600    0.0100    1.4700    1.4823
crack:4,25                       6.1700    0.0200    6.1900    6.2507
decrypt:4,25                     1.4700    0.0100    1.4800    1.4811
crack:4,26                       7.4700    0.0400    7.5100    7.8673
decrypt:4,26                     1.5100    0.0100    1.5200    1.5338
crack:4,27                       8.0300    0.0400    8.0700    8.3583
decrypt:4,27                     1.5400    0.0100    1.5500    1.5774
crack:4,28                       8.0000    0.0200    8.0200    8.0954
decrypt:4,28                     1.6500    0.0100    1.6600    1.7729
crack:4,29                       8.9200    0.0400    8.9600    9.1402
decrypt:4,29                     1.7400    0.0100    1.7500    1.7636
crack:4,30                       9.6300    0.0200    9.6500    9.7594
decrypt:4,30                     1.6200    0.0000    1.6200    1.6523
